id,name,type,link,is_primary,student,lecture_id
slides,Slides,reading,https://docs.google.com/presentation/d/1SrEhZuDvpcGfGgACfqW_dm-F84mrT6XS/edit?usp=sharing&ouid=111601855049772661603&rtpof=true&sd=true,,,lec-what-is-an-llm
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e683080f-dc16-4172-968f-b3d1012f964f,FALSE,,lec-what-is-an-llm
notebook,Notebook,notebook,https://drive.google.com/file/d/1ZXobEduPTQSEhJDiLDG7UvOAqDOskdSI/view?usp=sharing,FALSE,,lec-text-as-data
blank-slides,Blank Slides,reading,https://docs.google.com/presentation/d/1YeO9aZq6c4hGDDmf41sa39hRAAOoobQk/edit?usp=sharing&ouid=111601855049772661603&rtpof=true&sd=true,FALSE,,lec-text-as-data
panopto,Panopto,video,,FALSE,,lec-text-as-data
notebook,Notebook,notebook,,FALSE,,lec-tokenization
blank-slides,Blank Slides,reading,,FALSE,,lec-tokenization
panopto,Panopto,video,,FALSE,,lec-tokenization
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
slides,Slides,reading,,FALSE,,lec-review-01
panopto,Panopto,video,,FALSE,,lec-review-01
supplementary-review-material,Supplementary Review Material,reading,,FALSE,,lec-review-01
practice-packet-01,Practice Packet 01,assignment,,FALSE,,lec-exam-01
practice-packet-01-solutions,Practice Packet 01 Solutions,assignment,,FALSE,,lec-exam-01
exam-01,Exam 01,assignment,,FALSE,,lec-exam-01
exam-01-solutions,Exam 01 Solutions,assignment,,FALSE,,lec-exam-01
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
slides,Slides,reading,,FALSE,,lec-review-02
panopto,Panopto,video,,FALSE,,lec-review-02
supplementary-review-material,Supplementary Review Material,reading,,FALSE,,lec-review-02
practice-packet-02,Practice Packet 02,assignment,,FALSE,,lec-exam-02
practice-packet-02-solutions,Practice Packet 02 Solutions,assignment,,FALSE,,lec-exam-02
exam-02,Exam 02,assignment,,FALSE,,lec-exam-02
exam-02-solutions,Exam 02 Solutions,assignment,,FALSE,,lec-exam-02
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
slides,Slides,reading,,FALSE,,lec-review-03
panopto,Panopto,video,,FALSE,,lec-review-03
practice-packet-03,Practice Packet 03,assignment,,FALSE,,lec-review-03
practice-packet-03-slides,Practice Packet 03 (Slides),assignment,,FALSE,,lec-review-03
practice-packet-03-solutions,Practice Packet 03 Solutions,assignment,,FALSE,,lec-review-03
